title,keywords,group,link,pdf,abstract
A Computational Approach to Sign Language Understanding,"American Sign Language, Transformer Modeling, Sequence Modeling, Feature Extraction, Neural Machine Translation","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17851,https://ojs.aaai.org/index.php/AAAI/article/view/17851/17656,Abstract
Effective Clustering of scRNA-seq Data to Identify Biomarkers without User Input,"Clustering, ScRNA-seq, Computational Biology, Density-based Clustering, Bioinformatics","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17852,https://ojs.aaai.org/index.php/AAAI/article/view/17852/17657,Abstract
Creating Interpretable Data-Driven Approaches for Remote Health Monitoring,"Interpretability, Health Informatics, Time Series Classification","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17853,https://ojs.aaai.org/index.php/AAAI/article/view/17853/17658,Abstract
Verification and Repair of Neural Networks,"PEAI: Safety Robustness & Trustworthiness, ML: Adversarial Learning & Robustness, CSO: Applications, CSO: Satisfiability Modulo Theories, CSO: Constraint Satisfaction","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17854,https://ojs.aaai.org/index.php/AAAI/article/view/17854/17659,Abstract
Perception Beyond Sensors Under Uncertainty,"Epistemic Uncertainty, Behavior Prediction, Generative Modeling, Autonomous Perception, Occupancy Grids","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17855,https://ojs.aaai.org/index.php/AAAI/article/view/17855/17660,Abstract
Artificial Intelligence and Machine Learning for Autonomous Agents that Learn to Plan and Operate in Unpredictable Dynamic Environments,"Learning Planning Domains, Abstraction, Online Learning","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17856,https://ojs.aaai.org/index.php/AAAI/article/view/17856/17661,Abstract
On Learning Deep Models with Imbalanced Data Distribution,"Face Recognition, Biometrics, Alterations, Bias, Image Distortions","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17857,https://ojs.aaai.org/index.php/AAAI/article/view/17857/17662,Abstract
Screening for Depressed Individuals by Using Multimodal Social Media Data,"Depression, Explainability, Natural Language Processing, Reinforcement Learning, Students","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17858,https://ojs.aaai.org/index.php/AAAI/article/view/17858/17663,Abstract
Relational Learning to Capture the Dynamics and Sparsity of Knowledge Graphs,"Knowledge Graphs, Relational Learning, Meta Learning, Continual Learning","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17859,https://ojs.aaai.org/index.php/AAAI/article/view/17859/17664,Abstract
Constraint-Driven Learning of Logic Programs,"ML: Relational Learning, KRR: Logic Programming, CSO: Applications","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17860,https://ojs.aaai.org/index.php/AAAI/article/view/17860/17665,Abstract
Transfer Learning of Engagement Recognition within Robot-Assisted Therapy for Children with Autism,"Child-robot Interaction, Transfer Learning, Machine Learning, Children With Autism-spectrum Disorder","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17861,https://ojs.aaai.org/index.php/AAAI/article/view/17861/17666,Abstract
Robots that Help Humans Build Better Mental Models of Robots,"Human-robot Interaction, Mental Models, Cognitive Architectures, Human-Computer Interaction","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17862,https://ojs.aaai.org/index.php/AAAI/article/view/17862/17667,Abstract
AI for Social Good- Between My Research and the Real World,"AI For Social Good, Food Security, Data Science, Online Learning, Bandit, Data-driven Optimization","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17863,https://ojs.aaai.org/index.php/AAAI/article/view/17863/17668,Abstract
